,date,unix,open,high,low,close,volume
0,2018-05-15 06:00 AM,1526364000,8723.8,8793.0,8714.9,8739.0,8988053.53
1,2018-05-15 07:00 AM,1526367600,8739.0,8754.8,8719.3,8743.0,2288904.12
2,2018-05-15 08:00 AM,1526371200,8743.0,8743.1,8653.2,8723.7,8891773.14
3,2018-05-15 09:00 AM,1526374800,8723.7,8737.8,8701.2,8708.1,2054868.28
4,2018-05-15 10:00 AM,1526378400,8708.1,8855.7,8695.8,8784.4,17309722.58
5,2018-05-15 11:00 AM,1526382000,8784.4,8804.9,8734.8,8755.2,5755257.93
6,2018-05-15 12:00 PM,1526385600,8755.2,8789.1,8743.0,8762.0,4406994.79
7,2018-05-15 01:00 PM,1526389200,8762.0,8798.1,8633.0,8742.6,16375559.14
8,2018-05-15 02:00 PM,1526392800,8742.6,8742.7,8480.2,8512.0,30884779.63
9,2018-05-15 03:00 PM,1526396400,8512.0,8544.0,8472.5,8520.8,13585970.87
10,2018-05-15 04:00 PM,1526400000,8520.8,8580.0,8485.7,8532.1,10472251.96
11,2018-05-15 05:00 PM,1526403600,8532.1,8578.4,8499.0,8553.8,8155202.96
12,2018-05-15 06:00 PM,1526407200,8553.8,8553.8,8438.1,8516.5,23290913.96
13,2018-05-15 07:00 PM,1526410800,8516.5,8560.5,8436.8,8551.2,12093565.11
14,2018-05-15 08:00 PM,1526414400,8551.2,8558.0,8479.3,8516.7,4843869.92
15,2018-05-15 09:00 PM,1526418000,8516.7,8540.9,8476.0,8476.0,3853166.53
16,2018-05-15 10:00 PM,1526421600,8476.0,8552.0,8415.0,8459.9,10032951.79
17,2018-05-15 11:00 PM,1526425200,8459.9,8498.4,8451.0,8467.5,3405881.75
18,2018-05-16 12:00 AM,1526428800,8467.5,8492.7,8420.0,8454.2,4240758.74
19,2018-05-16 01:00 AM,1526432400,8454.2,8462.1,8282.0,8327.9,16395261.35
20,2018-05-16 02:00 AM,1526436000,8327.9,8328.7,8100.0,8124.4,35444924.51
21,2018-05-16 03:00 AM,1526439600,8124.4,8217.0,8124.4,8152.0,8483096.75
22,2018-05-16 04:00 AM,1526443200,8152.0,8236.87,8152.0,8205.3,5883397.96
23,2018-05-16 05:00 AM,1526446800,8205.3,8221.3,8152.0,8197.7,8490665.11
24,2018-05-16 06:00 AM,1526450400,8197.7,8270.8,8156.1,8223.9,12865221.51
25,2018-05-16 07:00 AM,1526454000,8223.9,8241.4,8197.33,8221.1,4455698.32
26,2018-05-16 08:00 AM,1526457600,8221.1,8241.9,8177.4,8194.2,8168354.32
27,2018-05-16 09:00 AM,1526461200,8194.2,8258.5,8194.2,8225.1,5245383.3
28,2018-05-16 10:00 AM,1526464800,8225.1,8420.0,8225.1,8357.2,25717067.45
29,2018-05-16 11:00 AM,1526468400,8357.2,8426.3,8356.8,8358.5,10531322.67
30,2018-05-16 12:00 PM,1526472000,8358.5,8380.0,8342.2,8348.6,5479810.58
31,2018-05-16 01:00 PM,1526475600,8348.6,8372.8,8121.7,8158.1,24269108.57
32,2018-05-16 02:00 PM,1526479200,8158.1,8212.0,8158.07,8205.9,5457501.18
33,2018-05-16 03:00 PM,1526482800,8205.9,8370.2,8205.8,8276.0,15802905.65
34,2018-05-16 04:00 PM,1526486400,8276.0,8318.5,8192.6,8255.2,15226854.34
35,2018-05-16 05:00 PM,1526490000,8255.2,8349.3,8240.9,8286.4,22453283.24
36,2018-05-16 06:00 PM,1526493600,8286.4,8328.0,8266.1,8266.2,2340358.52
37,2018-05-16 07:00 PM,1526497200,8266.2,8375.0,8227.01,8227.4,6197892.42
38,2018-05-16 08:00 PM,1526500800,8227.4,8290.8,8222.0,8290.0,4343002.13
39,2018-05-16 09:00 PM,1526504400,8290.0,8314.0,8252.2,8271.9,4066149.47
40,2018-05-16 10:00 PM,1526508000,8271.9,8366.9,8271.9,8278.1,6783076.23
41,2018-05-16 11:00 PM,1526511600,8278.1,8357.3,8274.0,8336.1,6912962.07
42,2018-05-17 12:00 AM,1526515200,8336.1,8396.8,8319.2,8346.07,7878424.24
43,2018-05-17 01:00 AM,1526518800,8346.07,8376.1,8311.3,8368.7,5713233.04
44,2018-05-17 02:00 AM,1526522400,8368.7,8394.0,8354.9,8373.5,4875954.44
45,2018-05-17 03:00 AM,1526526000,8373.5,8482.2,8320.9,8355.0,18714875.92
46,2018-05-17 04:00 AM,1526529600,8355.0,8373.5,8316.4,8319.5,2581490.9
47,2018-05-17 05:00 AM,1526533200,8319.5,8374.8,8274.2,8352.2,7487354.53
48,2018-05-17 06:00 AM,1526536800,8352.2,8364.3,8333.1,8337.8,2795240.16
49,2018-05-17 07:00 AM,1526540400,8337.8,8345.7,8190.4,8246.7,15044687.38
50,2018-05-17 08:00 AM,1526544000,8246.7,8280.6,8202.5,8270.1,8332633.39
51,2018-05-17 09:00 AM,1526547600,8270.1,8315.6,8263.0,8279.4,3351047.32
52,2018-05-17 10:00 AM,1526551200,8279.4,8313.2,8256.7,8296.4,3576555.25
53,2018-05-17 11:00 AM,1526554800,8296.4,8316.0,8280.0,8302.0,4412616.65
54,2018-05-17 12:00 PM,1526558400,8302.0,8337.4,8227.8,8274.8,10318967.27
55,2018-05-17 01:00 PM,1526562000,8274.8,8299.9,8266.44,8288.8,3219867.82
56,2018-05-17 02:00 PM,1526565600,8288.8,8363.0,8287.8,8311.8,6528544.81
57,2018-05-17 03:00 PM,1526569200,8311.8,8323.8,8286.9,8300.9,2382210.39
58,2018-05-17 04:00 PM,1526572800,8300.9,8320.6,8218.3,8271.6,14537481.76
59,2018-05-17 05:00 PM,1526576400,8271.6,8271.6,8228.76,8250.0,4152516.31
60,2018-05-17 06:00 PM,1526580000,8250.0,8266.4,8119.4,8163.4,14783512.43
61,2018-05-17 07:00 PM,1526583600,8163.4,8192.0,8153.0,8170.0,5582076.74
62,2018-05-17 08:00 PM,1526587200,8170.0,8232.0,8170.0,8206.1,6338329.71
63,2018-05-17 09:00 PM,1526590800,8206.1,8206.5,8144.4,8147.08,4880828.76
64,2018-05-17 10:00 PM,1526594400,8147.08,8147.08,7982.5,8069.9,38371646.78
65,2018-05-17 11:00 PM,1526598000,8069.9,8093.0,7990.7,8054.3,7470965.86
66,2018-05-18 12:00 AM,1526601600,8054.3,8063.0,7925.0,7958.0,13753738.0
67,2018-05-18 01:00 AM,1526605200,7958.0,8024.9,7941.3,7981.1,7557856.78
68,2018-05-18 02:00 AM,1526608800,7981.1,8022.7,7944.8,7995.1,7570792.35
69,2018-05-18 03:00 AM,1526612400,7995.1,8023.0,7977.03,7996.0,5015084.5
70,2018-05-18 04:00 AM,1526616000,7996.0,8057.0,7995.8,8016.0,9380234.91
71,2018-05-18 05:00 AM,1526619600,8016.0,8046.2,7990.12,8035.7,4996646.68
72,2018-05-18 06:00 AM,1526623200,8035.7,8035.7,7950.8,7964.0,6179627.26
73,2018-05-18 07:00 AM,1526626800,7964.0,8161.0,7964.0,8085.0,23205279.31
74,2018-05-18 08:00 AM,1526630400,8085.0,8138.7,8080.3,8123.6,7010761.88
75,2018-05-18 09:00 AM,1526634000,8123.6,8130.8,8085.1,8102.4,4485979.41
76,2018-05-18 10:00 AM,1526637600,8102.4,8145.8,8093.1,8130.0,5708771.23
77,2018-05-18 11:00 AM,1526641200,8130.0,8131.7,8050.0,8101.5,7389891.81
78,2018-05-18 12:00 PM,1526644800,8101.5,8128.0,8079.7,8105.5,8258179.49
79,2018-05-18 01:00 PM,1526648400,8105.5,8116.0,8050.0,8095.7,6649750.04
